"P2.5" "P97.5" "P50" "P90" "P95" "badname" "id" "Datum"
3.1674909370377 325.153555829585 33.5024835176065 145.379185249243 230.070787617765 "Grunewaldturm" 28 "2018-05-15"
10.9195835112405 1054.6770073982 108.175421537429 482.11326163743 753.875284031471 "Grunewaldturm" 28 "2018-05-16"
11.7661162408982 1283.12327127318 119.619861495302 554.310340170742 849.591499009486 "Grunewaldturm" 28 "2018-05-17"
6.43098236250679 636.244398743974 61.7730941329722 284.984263479486 442.573837811008 "Grunewaldturm" 28 "2018-05-18"
6.13121035905036 577.741242201594 58.0195499914004 259.841582925533 395.904013822209 "Grunewaldturm" 28 "2018-05-19"
3.32178097406259 318.680605837493 33.380083413913 145.110150290814 225.689767836086 "Grunewaldturm" 28 "2018-05-20"
1.64107357170195 150.191531805191 15.636411511124 68.2037027823065 106.408879502979 "Grunewaldturm" 28 "2018-05-21"
1.61718908079543 149.399233766492 15.4790758531176 69.5405706036154 106.621472319569 "Grunewaldturm" 28 "2018-05-22"
1.36478862903048 133.500299181864 14.0085620905683 60.2651873995604 92.2701360087726 "Grunewaldturm" 28 "2018-05-23"
1.31411141437412 131.702662320791 13.2695715590591 57.3864750103961 89.839386207516 "Grunewaldturm" 28 "2018-05-24"
1.33939800738335 133.23260445481 13.2513142748597 59.3101264805532 91.6130020411345 "Grunewaldturm" 28 "2018-05-25"
1.34919821889124 134.87065302623 13.3222568992286 58.2996821833085 89.4282447936116 "Grunewaldturm" 28 "2018-05-26"
1.26110854933896 129.032271014237 12.0066463195177 54.37910133275 83.2294675073994 "Grunewaldturm" 28 "2018-05-27"
8.59080442003614 805.272331245133 84.8674098627823 377.591024286735 563.840772336996 "Grunewaldturm" 28 "2018-06-02"
8.73461008829428 905.089505598814 81.784606391782 377.028060064902 579.528553167792 "Grunewaldturm" 28 "2018-06-03"
4.44173139145688 481.871973414489 45.8417503887581 199.991003420666 311.571067690176 "Grunewaldturm" 28 "2018-06-04"
4.22103971111989 454.534618851347 44.4426998294742 201.761878428402 310.35974714287 "Grunewaldturm" 28 "2018-06-05"
2.90754229897411 319.81992936533 30.5315782067734 137.666660814844 214.550728705559 "Grunewaldturm" 28 "2018-06-06"
1.7486060516498 165.192047635804 17.100052849648 76.2028837015761 118.005158778774 "Grunewaldturm" 28 "2018-06-07"
1.64306464611108 157.745670419853 15.7428712842306 68.2636939945885 104.673872585518 "Grunewaldturm" 28 "2018-06-08"
1.62682509991031 163.984038867652 16.0588272875301 69.6401980157916 110.196591645478 "Grunewaldturm" 28 "2018-06-09"
1.44074687089649 139.662127154165 13.9740638106021 61.6300644310516 93.0835846057258 "Grunewaldturm" 28 "2018-06-10"
4.39190454236621 451.228733253785 43.5158934303281 190.400308311735 299.842223655945 "Grunewaldturm" 28 "2018-06-11"
4.3598052578224 474.758315968239 44.0452630543086 205.661609205438 322.671469877549 "Grunewaldturm" 28 "2018-06-12"
3.26886234576662 316.519822691539 32.2929797460238 141.615256516141 214.975629782403 "Grunewaldturm" 28 "2018-06-13"
5.81922557622115 580.535660944937 58.3617615060932 262.572795580273 404.274452108434 "Grunewaldturm" 28 "2018-06-14"
6.80732030960745 698.287571553703 67.7412808531782 310.301142337507 472.027195471301 "Grunewaldturm" 28 "2018-06-15"
4.11490647945241 393.651618462287 41.0972535912 177.819593351416 270.606782018498 "Grunewaldturm" 28 "2018-06-16"
3.18148515069784 300.314098978423 30.4878859992034 140.006411589795 213.062028278304 "Grunewaldturm" 28 "2018-06-17"
1.89918589584964 185.15420254723 18.7900725451539 81.409068160426 124.859107460595 "Grunewaldturm" 28 "2018-06-18"
1.51793321419361 149.61401974257 15.3154655947162 65.0556626385304 100.447706058463 "Grunewaldturm" 28 "2018-06-19"
1.37997000082015 135.495457281054 13.2149233946375 58.016331114987 88.7258591377687 "Grunewaldturm" 28 "2018-06-20"
1.07225047976185 107.00985194425 10.6620820930649 46.7002626844477 74.0753811037988 "Grunewaldturm" 28 "2018-06-21"
1.93195884670929 193.321084613404 19.2453179313848 84.8336178865203 129.697370585209 "Grunewaldturm" 28 "2018-06-22"
2.1280264188581 225.56054959676 23.5806584848755 102.434409424455 154.74846900578 "Grunewaldturm" 28 "2018-06-23"
5.54608480844953 592.429729051943 56.0945879787879 249.576212651916 374.283687441768 "Grunewaldturm" 28 "2018-06-24"
7.15360303758848 748.006372398852 74.1739375516971 329.208532022064 511.662560147141 "Grunewaldturm" 28 "2018-06-25"
5.88575592860246 560.002130328584 58.1211594704804 256.953714454423 401.286400001234 "Grunewaldturm" 28 "2018-06-26"
2.14974839865705 236.223406315 22.4073735923255 103.182246392268 154.113287291719 "Grunewaldturm" 28 "2018-06-27"
2.33580653912655 239.335377002948 23.4613602008353 107.607539113033 161.617500747618 "Grunewaldturm" 28 "2018-06-28"
1.65906084641891 162.642178162772 16.5155257446913 73.6557635271179 111.40997412224 "Grunewaldturm" 28 "2018-06-29"
0.983602882827346 102.752040959311 9.91438860131771 45.7512502567242 70.8385549384975 "Grunewaldturm" 28 "2018-06-30"
1.01703393182129 97.2472296411217 9.8996770550675 45.9458456351866 69.1974436524713 "Grunewaldturm" 28 "2018-07-01"
0.899363296962199 96.4887836334693 9.72049118843765 43.2283470025975 68.9194741581266 "Grunewaldturm" 28 "2018-07-02"
1.25123640128188 119.511056186599 12.646563014093 56.8194435165705 85.4541209244364 "Grunewaldturm" 28 "2018-07-03"
1.34993974598109 127.939285847466 13.4457000065556 57.8514116875617 88.9223864625442 "Grunewaldturm" 28 "2018-07-04"
