BadName;Bezirk;Profil;RSS_Name;Latitude;Longitude;ProfilLink;BadestelleLink;Dat;Sicht;Eco;Ente;Farbe;BSL;Algen;Wasserqualitaet;cb;Temp;PDFLink;Farb_ID
Alter Hof;Steglitz-Zehlendorf;Unterhavel;Alter Hof / Unterhavel;52.43270500;13.14227800;"""Unterhavel - Alter Hof(Link zum Badegewässerprofil Unterhavel Alter Hof)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339134.php;"""Alter Hof(Link zur Badestelle Alter Hof)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344360.php;12.09.2017;150;15;<15;gruen.jpg;B334;;1;360;18,10;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad29.pdf;1
Bammelecke;Treptow-Köpenick;Dahme;Bammelecke;52.40749800;13.62253700;"""Dahme - Bammelecke(Link zum Badegewässerprofil Bammelecke)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339118.php;"""Bammelecke(Link zur Badestelle Bammelecke)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344320.php;05.09.2017;60;<15;15;gruen.jpg;B225;;1;<300;20,10;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad1.pdf;1
Breitehorn;Spandau;Unterhavel;Breitehorn / Unterhavel;52.46575300;13.17979700;"""Unterhavel - Breitehorn(Link zum Badegewässerprofil Unterhavel Breithorn)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339130.php;"""Breitehorn(Link zur Badestelle Breitehorn)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344350.php;12.09.2017;130;94;<15;gruen.jpg;B332;;1;360;17,70;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad30.pdf;1
Bürgerablage;Spandau;Oberhavel;Bürgerablage / Oberhavel;52.58498800;13.21124400;"""Oberhavel - Bürgerablage(Link zum Badegewässerprofil Bürgerablage)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339123.php;"""Bürgerablage(Link zur Badestelle Bürgerablage)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344337.php;11.09.2017;120;<15;<15;gruen.jpg;B304;;1;<300;17,10;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad16.pdf;1
Dämeritzsee;Treptow-Köpenick;Großer Müggelsee;Dämeritzsee;52.42692000;13.73511300;"""Großer Müggelsee - Dämeritzsee(Link zum Badegewässerprofil Dämeritzsee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339107.php;"""Dämeritzsee(Link zur Badestelle Dämeritzsee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344321.php;05.09.2017;120;15;<15;gruen.jpg;B105;;1;<300;18,60;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad2.pdf;1
Flughafensee;Reinickendorf;Flughafensee;Flughafensee;52.56978600;13.28488900;"""Flughafensee - Flughafensee(Link zum Badegewässerprofil Flughafensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339146.php;"""Flughafensee(Link zur Badestelle Flughafensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344334.php;07.09.2017;160;144;15;gruen.jpg;B920;;1;910;19,90;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad3.pdf;1
Friedrichshagen, Seebad;Treptow-Köpenick;Großer Müggelsee;Seebad Friedrichshagen;52.44583600;13.63069200;"""Seebad Friedrichshagen(Link zum Badegewässerprofil Seebad Friedrichshagen)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339113.php;"""Seebad Friedrichshagen(Link zur Badestelle Seebad Friedrichshagen)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344322.php;05.09.2017;200;<15;<15;gruen.jpg;B118;;1;<300;19,60;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad4.pdf;1
Gartenstraße, Flussbad;Treptow-Köpenick;Dahme;Flussbad Gartenstraße;52.44094000;13.57572700;"""Dahme - Flussbad Gartenstraße(Link zum Badegewässerprofil Flußbad Gartenstraße)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339121.php;"""Flußbad Gartenstraße(Link zur Badestelle Flußbad Gartenstraße)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344323.php;05.09.2017;80;<15;<15;gruen.jpg;B230;;1;<300;20,40;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad5.pdf;1
Groß Glienicker See, nördlich;Spandau;Groß Glienicker See;Groß Glienicker See, nördlich;52.47175500;13.11856800;"""Groß Glienicker See - Groß Glienicker See, nördlich(Link zum Groß Glienicker See nördlich)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339153.php;"""Groß Glienicker See, nördlich(Link zur Badestelle Glienicker See nördlich)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344340.php;04.09.2017;>150;<15;<15;gruen.jpg;B961;;1;<300;20,30;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad6.pdf;1
Groß Glienicker See, südlich;Spandau;Groß Glienicker See;Groß Glienicker See, südlich;52.46036200;13.11463300;"""Groß Glienicker See - Groß Glienicker See, südlich(Link zum Groß Glienicker See südlich)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339154.php;"""Groß Glienicker See, südlich(Link zur Badestelle Glienicker See südlich)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344338.php;04.09.2017;>150;<15;<15;gruen.jpg;B962;;1;<300;20,70;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad7.pdf;1
