"id","badname","Datum","Vorhersage","P2.5","P97.5","P50"
36,"kleine Badewiese","2019-08-02","ausgezeichnet",5.7140188263952,702.198553852397,64.4907211783758
28,"Grunewaldturm","2019-08-02","ausreichend",17.4475462186929,1896.98929168821,186.680150690704
