date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-03,350,15,15,16.7,0,300,350,<15,<15,"16,70",,<300,B334,gruen,1,1
2018-05-24,140,15,15,20.9,0,300,140,<15,<15,"20,90",,<300,B334,gruen,1,1
2018-06-06,130,15,15,23.2,0,300,130,15,<15,"23,2",,<300,B334,gruen,1,1
2018-06-19,160,15,30,23.4,0,300,160,<15,30,"23,4",,<300,B334,gruen,1,1
2018-07-04,120,15,15,23.2,0,300,120,<15,<15,"23,2",,<300,B334,gruen,1,1
2018-07-17,70,15,15,25.2,0,300,70,<15,<15,"25,2",,<300,B334,gruen,1,1
2018-08-01,200,15,15,26.9,0,300,200,<15,<15,"26,9",,<300,B334,gruen,1,1
2018-08-14,120,15,15,23.7,0,300,120,<15,<15,"23,7",,<300,B334,gruen,1,1
2018-08-28,180,15,15,21,0,300,180,<15,<15,21,,<300,B334,gruen,1,1
2018-09-11,210,15,15,20.5,0,300,210,<15,<15,"20,5",,<300,B334,gruen,1,1
2019-04-24,240,15,15,13.9,0,300,240,<15,<15,"13,9",,<300,B334,gruen,1,1
2019-05-14,250,15,15,14.4,0,300,250,<15,<15,"14,4",,<300,B334,gruen,1,1
2019-05-28,280,15,15,17.7,0,300,>280,15,<15,"17,7",,<300,B334,gruen,1,1
2019-06-12,160,77,15,24.7,0,360,160,77,<15,"24,7",,360,B334,gruen,1,1
2019-06-25,150,15,15,25.2,0,300,150,15,<15,"25,2",,<300,B334,gruen,1,1
2019-07-09,150,15,15,19.9,0,300,150,15,<15,"19,9",,<300,B334,gruen,1,1
2019-07-24,150,15,15,25.5,0,300,150,<15,<15,"25,5",,<300,B334,gruen,1,1
