date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-19,120,15,15,16.2,0,300,>120,<15,15,"16,20",,<300,B304,gruen,1,1
2018-05-18,70,15,15,18.8,0,300,70,<15,<15,"18,80",,<300,B304,gruen,1,1
2018-06-01,100,15,15,24.6,0,360,100,<15,15,"24,6",,360,B304,gruen,1,1
2018-06-13,60,15,46,22.6,0,300,60,<15,46,"22,6",,<300,B304,gruen,1,1
2018-06-29,75,46,46,23.4,0,300,>75,46,46,"23,4",,<300,B304,gruen,1,1
2018-07-13,100,15,15,21.1,0,300,100,<15,<15,"21,1",,<300,B304,gruen,1,1
2018-07-27,80,15,15,26.7,0,9300,80,<15,<15,"26,7",,9300,B304,gruen,1,1
2018-08-08,80,15,15,26.1,0,910,80,<15,<15,"26,1",,910,B304,gruen,1,1
2018-08-24,80,30,15,23.5,0,2300,80,30,<15,"23,5",,2300,B304,gruen,1,1
2018-09-03,150,15,15,20.5,0,9300,>150,<15,<15,"20,5",,9300,B304,gruen,1,1
2019-04-15,170,15,15,10.4,0,300,170,<15,<15,"10,4",,<300,B304,gruen,1,1
2019-05-13,110,15,15,15,0,300,110,<15,<15,15,,<300,B304,gruen,1,1
2019-06-11,130,15,15,24,0,300,130,<15,<15,24,,<300,B304,gruen,1,1
2019-06-24,80,15,15,25,0,300,80,<15,<15,25,,<300,B304,gruen,1,1
2019-07-08,80,15,15,20.4,0,300,80,<15,<15,"20,4",,<300,B304,gruen,1,1
2019-07-22,130,15,15,23.3,0,24000,130,<15,<15,"23,3",,24000,B304,gelb,3,3
2019-07-30,100,15,15,24.5,0,360,>100,<15,<15,"24,5",,360,B304,gruen,1,1
