date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-03,300,15,15,16.2,0,300,>300,<15,<15,"16,20",,<300,B350,gruen,1,1
2018-05-24,220,15,15,20.3,0,300,220,<15,<15,"20,30",,<300,B350,gruen,1,1
2018-06-06,120,15,30,22.9,0,300,120,15,30,"22,9",,<300,B350,gruen,1,1
2018-06-19,180,15,15,23.1,0,300,180,<15,<15,"23,1",,<300,B350,gruen,1,1
2018-07-04,140,15,15,22.8,0,300,140,<15,15,"22,8",,<300,B350,gruen,1,1
2018-07-17,120,15,15,23.8,0,300,120,<15,<15,"23,8",,300,B350,gruen,1,1
2018-08-01,200,15,15,26.6,0,300,200,<15,<15,"26,6",,<300,B350,gruen,1,1
2018-08-14,220,15,15,23.8,0,300,220,<15,<15,"23,8",,<300,B350,gruen,1,1
2018-08-28,220,15,15,21.1,0,2300,220,<15,<15,"21,1",,2300,B350,gruen,1,1
2018-09-11,220,15,15,20.4,0,300,220,<15,<15,"20,4",,<300,B350,gruen,1,1
2019-04-24,220,15,15,13.1,0,300,>220,<15,<15,"13,1",,<300,B350,gruen,1,1
2019-05-14,250,15,15,14.2,0,300,>250,<15,<15,"14,2",,<300,B350,gruen,1,1
2019-05-28,220,94,15,18.1,0,300,>220,94,<15,"18,1",,<300,B350,gruen,1,1
2019-06-12,160,30,15,22.6,0,300,160,30,15,"22,6",,<300,B350,gruen,1,1
2019-06-25,180,15,15,24.6,0,300,180,<15,<15,"24,6",,<300,B350,gruen,1,1
2019-07-09,140,15,15,19.9,0,300,140,<15,<15,"19,9",,<300,B350,gruen,1,1
2019-07-24,130,15,15,24.4,0,300,130,<15,<15,"24,4",,<300,B350,gruen,1,1
