date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-26,350,15,15,14.8,0,300,>350,<15,<15,"14,80",,<300,B925,gruen,1,1
2018-05-23,250,15,30,20.8,0,360,250,15,30,"20,80",,360,B925,gruen,1,1
2018-06-07,230,15,15,24.4,0,300,230,<15,<15,"24,4",,<300,B925,gruen,1,1
2018-06-21,190,179,30,23.7,0,300,190,179,30,"23,7",,<300,B925,gruen,1,1
2018-07-05,220,46,15,24,0,300,220,46,<15,24,,<300,B925,gruen,1,1
2018-07-19,120,144,15,23,0,300,120,144,<15,23,,<300,B925,gruen,1,1
2018-08-02,80,15,15,26.2,0,300,80,<15,15,"26,2",,<300,B925,gruen,1,1
2018-08-16,80,15,15,23,0,300,80,<15,<15,23,,<300,B925,gruen,1,1
2018-08-29,100,15,15,20.6,0,300,100,<15,<15,"20,6",,<300,B925,gruen,1,1
2018-09-12,120,371,15,20.8,0,910,120,371,<15,"20,8",,910,B925,gruen,1,1
2019-04-25,420,15,15,17,0,300,420,<15,<15,17,,<300,B925,gruen,1,1
2019-05-15,180,15,15,16.8,0,300,>180,15,<15,"16,8",,<300,B925,gruen,1,1
2019-05-29,200,15,15,18.3,0,300,200,<15,<15,"18,3",,<300,B925,gruen,1,1
2019-06-13,180,15,15,24,0,300,>180,<15,<15,24,,<300,B925,gruen,1,1
2019-06-27,190,15,15,25.2,0,300,190,<15,<15,"25,2",,<300,B925,gruen,1,1
2019-07-10,210,15,15,19.8,0,300,210,<15,<15,"19,8",,<300,B925,gruen,1,1
2019-07-25,280,15,15,26.4,0,300,280,<15,<15,"26,4",,<300,B925,gruen,1,1
