date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-16,150,272,45,19.2,0,360,>150,272,45,"19,20",,360,B331,gruen,1,1
2018-05-24,110,15,15,19.6,0,300,110,<15,<15,"19,60",,<300,B331,gruen,1,1
2018-05-30,150,77,15,25.7,0,300,150,77,<15,"25,70",,<300,B331,gruen,1,1
2018-06-06,150,15,30,22.7,0,360,150,<15,30,"22,7",,360,B331,gruen,1,1
2018-06-15,120,15,127,22.1,0,300,120,<15,127,"22,1",,<300,B331,gruen,1,1
2018-06-19,100,15,15,23.7,0,300,100,<15,15,"23,7",,<300,B331,gruen,1,1
2018-06-27,120,15,15,21.2,0,300,120,<15,<15,"21,2",,<300,B331,gruen,1,1
2018-07-04,130,15,15,22.1,0,300,130,<15,15,"22,1",,<300,B331,gruen,1,1
2018-07-12,100,2496,1494,20,0,24000,100,2496,1494,20,,24000,B331,gelb,3,3
2018-07-17,90,144,15,22.7,0,730,90,144,15,"22,7",,730,B331,gruen,1,1
2018-07-25,150,15,15,25.3,0,360,150,<15,<15,"25,3",,360,B331,gruen,1,1
2018-08-01,180,15,15,26.6,0,300,180,<15,<15,"26,6",,<300,B331,gruen,1,1
2018-08-09,80,46,15,25.4,0,300,>80,46,<15,"25,4",,<300,B331,gruen,1,1
2018-08-14,70,15,15,24,0,300,70,<15,<15,24,,<300,B331,gruen,1,1
2018-08-22,60,61,15,23.7,,2300,60,61,15,"23,7",A,2300,B331,gruen_a,1,1
2018-08-28,100,15,15,21.1,0,360,100,<15,15,"21,1",,360,B331,gruen,1,1
2018-09-06,200,61,15,22.5,0,300,200,61,<15,"22,5",,<300,B331,gruen,1,1
2018-09-11,100,15,15,20.7,0,360,100,15,15,"20,7",,360,B331,gruen,1,1
2019-04-24,150,15,15,14.2,0,300,150,<15,<15,"14,2",,<300,B331,gruen,1,1
2019-05-14,190,15,15,14.4,0,300,190,<15,<15,"14,4",,<300,B331,gruen,1,1
2019-05-22,150,360,30,16.6,0,360,150,360,30,"16,6",,360,B331,gruen,1,1
2019-05-28,170,15,15,18,0,300,170,15,<15,18,,<300,B331,gruen,1,1
2019-06-06,100,15,15,24.8,0,300,>100,15,15,"24,8",,300,B331,gruen,1,1
2019-06-12,150,15,30,23.4,0,300,150,15,30,"23,4",,<300,B331,gruen,1,1
2019-06-25,130,15,15,24,0,300,130,15,<15,24,,<300,B331,gruen,1,1
2019-07-03,130,30,15,22.5,0,300,130,30,<15,"22,5",,<300,B331,gruen,1,1
2019-07-09,120,15,15,20.1,0,300,120,<15,<15,"20,1",,<300,B331,gruen,1,1
2019-07-17,100,110,110,22.5,0,9300,>100,110,110,"22,5",,9300,B331,gruen,1,1
2019-07-24,100,15,15,24,0,360,100,<15,<15,24,,360,B331,gruen,1,1
2019-08-01,100,15,15,23.1,0,300,100,15,15,"23,1",,<300,B331,gruen,1,1
