date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-16,200,46,15,19.1,0,300,>200,46,15,"19,10",,<300,B330,gruen,1,1
2018-05-24,100,61,15,20,0,300,100,61,<15,"20,00",,<300,B330,gruen,1,1
2018-05-30,120,15,15,24.2,0,300,120,<15,<15,"24,20",,<300,B330,gruen,1,1
2018-06-06,140,77,30,22.7,0,300,140,77,30,"22,7",,<300,B330,gruen,1,1
2018-06-15,120,30,61,22.3,0,300,120,30,61,"22,3",,300,B330,gruen,1,1
2018-06-19,90,15,15,23.2,0,300,90,<15,<15,"23,2",,<300,B330,gruen_prog,11,11
2018-06-27,120,77,15,20.6,0,300,120,77,<15,"20,6",,<300,B330,gruen,1,1
2018-07-04,130,15,15,21.8,0,300,130,<15,<15,"21,8",,<300,B330,gruen,1,1
2018-07-12,100,15,15,20.8,0,300,100,15,<15,"20,8",,<300,B330,gruen,1,1
2018-07-17,100,94,15,22.9,0,1500,100,94,<15,"22,9",,1500,B330,gruen,1,1
2018-07-25,130,15,15,25.2,0,360,130,15,<15,"25,2",,360,B330,gruen,1,1
2018-08-01,100,15,15,26.8,0,300,100,<15,<15,"26,8",,<300,B330,gruen,1,1
2018-08-09,160,15,15,25.9,0,300,160,<15,<15,"25,9",,<300,B330,gruen,1,1
2018-08-14,70,15,15,23.9,0,300,70,15,<15,"23,9",,<300,B330,gruen,1,1
2018-08-22,50,15,15,24.3,,2300,50,15,<15,"24,3",A,2300,B330,gruen_a,1,1
2018-08-28,70,15,15,21.1,0,2300,70,15,15,"21,1",,2300,B330,gruen,1,1
2018-09-06,100,15,15,21.3,0,300,100,<15,<15,"21,3",,<300,B330,gruen,1,1
2018-09-11,80,15,15,20.2,0,910,80,15,15,"20,2",,910,B330,gruen,1,1
2019-04-24,140,15,15,14.5,0,300,140,15,<15,"14,5",,<300,B330,gruen,1,1
2019-05-14,130,15,15,14.4,0,300,130,<15,<15,"14,4",,<300,B330,gruen,1,1
2019-05-22,100,1719,30,16.4,0,2300,100,1719,30,"16,4",,2300,B330,gruen,1,1
2019-05-28,130,15,15,18.2,0,910,130,15,<15,"18,2",,910,B330,gruen,1,1
2019-06-06,110,15,15,24.7,0,300,110,<15,<15,"24,7",,<300,B330,gruen,1,1
2019-06-12,130,15,15,23.6,0,300,130,<15,<15,"23,6",,<300,B330,gruen,1,1
2019-06-25,90,15,15,24.5,0,300,90,<15,<15,"24,5",,<300,B330,gruen,1,1
2019-07-03,130,15,15,23.1,0,300,130,<15,<15,"23,1",,300,B330,gruen,1,1
2019-07-09,90,15,15,20.1,0,300,90,15,<15,"20,1",,<300,B330,gruen,1,1
2019-07-17,120,15,15,21.3,0,300,120,<15,<15,"21,3",,<300,B330,gruen,1,1
2019-07-24,110,15,30,24,0,300,110,<15,30,24,,<300,B330,gruen,1,1
2019-08-01,180,15,15,23.2,0,300,>180,<15,<15,"23,2",,<300,B330,gruen,1,1
