date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,160,15,15,20.5,0,300,160,<15,<15,"20,50",,<300,B225,gruen,1,1
2018-05-28,100,15,15,23.3,0,300,100,<15,<15,"23,30",,<300,B225,gruen,1,1
2018-06-11,100,15,15,24.3,0,300,100,<15,15,"24,3",,<300,B225,gruen,1,1
2018-06-25,100,15,30,20.6,0,300,100,15,30,"20,6",,<300,B225,gruen,1,1
2018-07-09,90,15,15,22.7,0,300,90,<15,<15,"22,7",,<300,B225,gruen,1,1
2018-07-23,70,15,15,24.6,,300,70,<15,<15,"24,6",A,<300,B225,gruen_a,1,1
2018-08-06,40,15,15,26.7,,1400,40,<15,<15,"26,7",A,1400,B225,gruen_a,1,1
2018-08-20,40,15,61,24.4,,300,40,<15,61,"24,4",A,<300,B225,gruen_a,1,1
2018-09-04,70,15,15,21.7,,300,70,15,<15,"21,7",A,<300,B225,gruen_a,1,1
2019-04-23,100,15,15,14.1,0,300,100,<15,<15,"14,1",,<300,B225,gruen,1,1
2019-05-20,180,15,15,18.8,0,300,180,<15,<15,"18,8",,<300,B225,gruen,1,1
2019-06-05,120,15,15,24.8,0,300,120,15,<15,"24,8",,<300,B225,gruen,1,1
2019-06-17,110,15,15,25.1,0,300,110,15,<15,"25,1",,<300,B225,gruen,1,1
2019-07-01,140,15,30,25.6,0,300,140,15,30,"25,6",,<300,B225,gruen,1,1
2019-07-15,90,15,15,20.6,0,300,90,15,<15,"20,6",,<300,B225,gruen,1,1
2019-07-29,120,15,15,26.6,0,4300,120,15,<15,"26,6",,4300,B225,gruen,1,1
