date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-16,150,15,15,20.7,0,300,>150,<15,<15,"20,70",,<300,B332,gruen,1,1
2018-05-24,80,15,15,20.6,0,300,80,<15,<15,"20,60",,<300,B332,gruen,1,1
2018-05-30,100,15,15,25.1,0,300,100,15,<15,"25,10",,<300,B332,gruen,1,1
2018-06-06,140,15,46,23,0,360,140,<15,46,23,,360,B332,gruen,1,1
2018-06-15,120,15,15,23.4,0,360,120,15,<15,"23,4",,360,B332,gruen,1,1
2018-06-19,100,15,15,23.8,0,300,100,15,<15,"23,8",,<300,B332,gruen,1,1
2018-06-27,120,15,15,21.9,0,300,120,<15,<15,"21,9",,<300,B332,gruen,1,1
2018-07-04,110,15,15,22.5,0,300,110,<15,<15,"22,5",,<300,B332,gruen,1,1
2018-07-12,100,77,30,20.8,0,910,100,77,30,"20,8",,910,B332,gruen,1,1
2018-07-17,90,30,15,24.6,0,300,90,30,<15,"24,6",,<300,B332,gruen,1,1
2018-07-25,130,30,15,25.9,0,360,130,30,<15,"25,9",,360,B332,gruen,1,1
2018-08-01,160,15,15,26.7,0,300,160,<15,<15,"26,7",,<300,B332,gruen,1,1
2018-08-09,160,30,15,27.9,0,300,160,30,15,"27,9",,<300,B332,gruen,1,1
2018-08-14,90,15,15,24.1,0,360,90,<15,<15,"24,1",,360,B332,gruen,1,1
2018-08-22,100,15,15,24,0,2300,>100,15,<15,24,,2300,B332,gruen,1,1
2018-08-28,100,15,15,21.6,0,2300,100,<15,<15,"21,6",,2300,B332,gruen,1,1
2018-09-06,30,15,15,22.3,,300,30,15,<15,"22,3",A,<300,B332,gelb_a,3,3
2018-09-11,120,15,15,21.1,0,2300,120,<15,<15,"21,1",,2300,B332,gruen,1,1
2019-04-24,140,15,15,13.3,0,300,140,<15,<15,"13,3",,<300,B332,gruen,1,1
2019-05-14,250,15,15,14.4,0,300,250,<15,<15,"14,4",,<300,B332,gruen,1,1
2019-05-22,100,1061,15,16.3,0,4300,100,1061,<15,"16,3",,4300,B332,gruen,1,1
2019-05-28,150,15,15,18.2,0,300,150,15,<15,"18,2",,<300,B332,gruen,1,1
2019-06-06,100,15,15,26.8,0,300,100,<15,<15,"26,8",,<300,B332,gruen,1,1
2019-06-12,130,15,15,25.2,0,300,130,<15,<15,"25,2",,<300,B332,gruen,1,1
2019-06-25,120,15,15,25,0,300,120,15,<15,25,,<300,B332,gruen,1,1
2019-07-03,100,77,125,24.3,0,300,100,77,125,"24,3",,<300,B332,gruen,1,1
2019-07-09,90,15,15,20.6,0,300,90,<15,<15,"20,6",,<300,B332,gruen,1,1
2019-07-17,100,61,110,20.3,0,2300,>100,61,110,"20,3",,2300,B332,gruen,1,1
2019-07-24,110,15,15,25.2,0,300,110,<15,<15,"25,2",,<300,B332,gruen,1,1
2019-08-01,100,179,215,23.4,0,910,100,179,215,"23,4",,910,B332,gruen,1,1
