date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-19,200,15,15,15.5,0,300,>200,<15,<15,"15,50",,<300,B313,gruen,1,1
2018-05-18,70,15,30,18.5,0,300,70,15,30,"18,50",,<300,B313,gruen,1,1
2018-06-01,120,15,15,25.5,0,300,120,<15,<15,"25,5",,300,B313,gruen,1,1
2018-06-13,100,30,15,21.3,0,300,100,30,15,"21,3",,<300,B313,gruen,1,1
2018-06-29,180,30,15,23.9,0,300,180,30,<15,"23,9",,<300,B313,gruen,1,1
2018-07-13,100,15,15,20.2,0,360,100,15,15,"20,2",,360,B313,gruen,1,1
2018-07-27,150,15,30,27,0,360,150,15,30,27,,360,B313,gruen,1,1
2018-08-08,150,213,30,25.5,0,360,>150,213,30,"25,5",,360,B313,gruen,1,1
2018-08-24,110,46,15,23.3,0,300,110,46,<15,"23,3",,<300,B313,gruen,1,1
2018-09-03,150,15,15,20.5,0,300,>150,<15,<15,"20,5",,<300,B313,gruen,1,1
2019-04-16,150,15,15,9.8,0,300,>150,<15,15,"9,8",,<300,B313,gruen,1,1
2019-05-13,200,15,15,15.2,0,300,>200,15,<15,"15,2",,<300,B313,gruen,1,1
2019-05-16,200,15,15,12,,300,200,<15,<15,12,A,<300,B313,gruen_a,1,1
2019-05-27,120,15,15,19.1,0,300,120,15,15,"19,1",,<300,B313,gruen,1,1
2019-06-12,100,30,15,23.9,0,300,>100,30,<15,"23,9",,300,B313,gruen,1,1
2019-06-24,160,15,15,24.4,0,300,160,<15,<15,"24,4",,<300,B313,gruen,1,1
2019-07-08,150,15,15,19.3,0,300,150,<15,<15,"19,3",,<300,B313,gruen,1,1
2019-07-22,230,15,15,22.3,0,360,>230,<15,<15,"22,3",,360,B313,gruen,1,1
