date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-03,210,15,15,16.3,0,300,210,<15,<15,"16,30",,<300,B336,gruen,1,1
2018-05-24,120,15,15,20,0,300,120,15,<15,"20,00",,<300,B336,gruen,1,1
2018-06-06,130,15,77,22.8,0,300,130,<15,77,"22,8",,<300,B336,gruen,1,1
2018-06-19,120,15,15,23.4,0,300,120,<15,15,"23,4",,<300,B336,gruen,1,1
2018-07-04,120,15,15,21.8,0,360,120,<15,<15,"21,8",,360,B336,gruen,1,1
2018-07-17,100,15,15,22.9,0,360,100,15,15,"22,9",,360,B336,gruen,1,1
2018-08-01,210,15,15,26.6,0,300,210,<15,<15,"26,6",,<300,B336,gruen,1,1
2018-08-14,110,15,15,24,0,300,110,<15,<15,24,,<300,B336,gruen,1,1
2018-08-28,150,15,15,21.2,0,2300,150,<15,<15,"21,2",,2300,B336,gruen,1,1
2018-09-11,150,15,15,20.4,0,300,150,<15,<15,"20,4",,<300,B336,gruen,1,1
2019-04-24,190,15,15,13.2,0,300,190,<15,15,"13,2",,<300,B336,gruen,1,1
2019-05-14,220,15,15,14.2,0,300,220,<15,<15,"14,2",,<300,B336,gruen,1,1
2019-05-28,160,15,15,17.7,0,300,160,<15,<15,"17,7",,<300,B336,gruen,1,1
2019-06-12,160,15,15,23.5,0,300,160,<15,15,"23,5",,300,B336,gruen,1,1
2019-06-25,120,15,15,24.3,0,300,120,<15,<15,"24,3",,<300,B336,gruen,1,1
2019-07-09,110,15,15,20.3,0,300,110,<15,<15,"20,3",,<300,B336,gruen,1,1
2019-07-24,100,15,15,24.4,0,300,100,<15,<15,"24,4",,<300,B336,gruen,1,1
