date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,180,15,15,20.6,0,300,180,<15,<15,"20,60",,<300,B224,gruen,1,1
2018-05-28,90,15,15,23.3,0,300,90,15,<15,"23,30",,<300,B224,gruen,1,1
2018-06-11,110,15,15,24.4,0,300,110,<15,15,"24,4",,<300,B224,gruen,1,1
2018-06-25,90,15,15,20.2,0,300,90,<15,<15,"20,2",,<300,B224,gruen,1,1
2018-07-09,80,15,15,23.2,0,300,80,15,<15,"23,2",,<300,B224,gruen,1,1
2018-07-23,60,15,15,24.9,,300,60,<15,<15,"24,9",A,<300,B224,gruen_a,1,1
2018-08-06,50,15,15,26.9,,4300,50,<15,15,"26,9",A,4300,B224,gruen_a,1,1
2018-08-20,40,15,30,24.2,,300,40,<15,30,"24,2",A,<300,B224,gruen_a,1,1
2018-09-04,60,15,15,21.1,,300,60,<15,<15,"21,1",A,<300,B224,gruen_a,1,1
2019-04-23,100,15,15,14.5,0,300,100,<15,<15,"14,5",,<300,B224,gruen,1,1
2019-05-20,170,15,15,18.3,0,300,170,<15,15,"18,3",,<300,B224,gruen,1,1
2019-06-05,140,15,15,25,0,360,140,<15,<15,25,,360,B224,gruen,1,1
2019-06-17,170,15,15,25,0,300,170,15,<15,25,,<300,B224,gruen,1,1
2019-07-01,110,15,15,25.2,0,300,110,<15,<15,"25,2",,<300,B224,gruen,1,1
2019-07-15,120,15,15,20.9,0,300,120,15,<15,"20,9",,<300,B224,gruen,1,1
2019-07-29,170,347,15,26.5,0,1500,170,347,<15,"26,5",,1500,B224,gruen,1,1
