date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-15,180,15,15,20.9,0,300,180,15,<15,"20,90",,<300,B920,gruen,1,1
2018-05-29,80,15,30,23.5,0,300,80,15,30,"23,5",,<300,B920,gruen,1,1
2018-06-12,150,415,61,22.3,0,9300,150,415,61,"22,3",,9300,B920,gruen,1,1
2018-06-26,240,15,15,18.8,0,24000,240,15,15,"18,8",,24000,B920,gelb,3,3
2018-07-03,300,15,15,21.9,0,300,300,15,<15,"21,9",,<300,B920,gruen,1,1
2018-07-10,160,15,30,21.5,0,300,160,15,30,"21,5",,<300,B920,gelb,3,3
2018-07-17,140,46,15,23.7,0,300,140,46,15,"23,7",,<300,B920,gruen,1,1
2018-07-24,130,77,30,25.3,0,360,130,77,30,"25,3",,360,B920,gruen,1,1
2018-08-07,110,15,15,26.6,0,300,110,15,<15,"26,6",,<300,B920,gruen,1,1
2018-08-21,110,15,15,23.2,0,300,110,<15,<15,"23,2",,<300,B920,gruen,1,1
2018-09-05,100,15,15,20.9,0,300,100,<15,<15,"20,9",,<300,B920,gruen,1,1
2019-04-25,360,15,15,16.9,0,300,360,<15,<15,"16,9",,<300,B920,gruen,1,1
2019-05-15,200,127,15,14.4,0,300,200,127,<15,"14,4",,<300,B920,gruen,1,1
2019-05-29,150,15,46,19,0,300,150,<15,46,19,,<300,B920,gruen,1,1
2019-06-13,200,300,77,24.7,0,910,200,300,77,"24,7",,910,B920,gruen,1,1
2019-06-27,180,150,15,25.6,0,300,180,<150,<15,"25,6",,<300,B920,gruen,1,1
2019-07-10,150,150,15,19.6,0,300,150,<150,<15,"19,6",,<300,B920,gruen,1,1
2019-07-25,200,15,46,25.8,0,300,200,<15,46,"25,8",,<300,B920,gruen,1,1
