date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-16,200,144,30,20.1,0,360,>200,144,30,"20,10",,360,B962,gruen,1,1
2018-05-30,350,15,15,25.1,0,300,>350,<15,<15,"25,1",,<300,B962,gruen,1,1
2018-06-15,350,15,15,22.9,0,300,>350,<15,<15,"22,9",,<300,B962,gruen,1,1
2018-06-27,350,15,46,21,0,300,>350,<15,46,21,,<300,B962,gruen,1,1
2018-07-12,300,412,110,20.5,0,910,>300,412,110,"20,5",,910,B962,gruen,1,1
2018-07-25,350,15,15,26.6,0,300,>350,<15,<15,"26,6",,<300,B962,gruen,1,1
2018-08-09,320,15,15,27.2,0,300,>320,<15,<15,"27,2",,<300,B962,gruen,1,1
2018-08-22,300,15,15,22.9,0,360,>300,<15,15,"22,9",,360,B962,gruen,1,1
2018-09-06,350,15,15,20.3,0,300,>350,<15,<15,"20,3",,<300,B962,gruen,1,1
2019-04-24,380,15,15,14.2,0,300,>380,<15,<15,"14,2",,<300,B962,gruen,1,1
2019-05-22,200,15,15,16.9,0,300,200,<15,<15,"16,9",,<300,B962,gruen,1,1
2019-06-06,200,15,15,24.8,0,300,>200,15,<15,"24,8",,<300,B962,gelb,3,3
2019-06-17,400,61,161,25.2,0,910,400,61,161,"25,2",,910,B962,gruen,1,1
2019-07-03,170,77,15,21.9,0,300,170,77,<15,"21,9",,<300,B962,gruen,1,1
2019-07-17,100,1673,15,19.7,0,2300,>100,1673,15,"19,7",,2300,B962,gruen,1,1
2019-08-01,100,77,77,23.8,0,360,100,77,77,"23,8",,360,B962,gruen,1,1
