date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-15,220,15,15,20,0,300,220,<15,<15,"20,00",,<300,B915,gruen,1,1
2018-05-29,120,15,15,23.5,0,300,120,<15,<15,"23,50",,<300,B915,gruen,1,1
2018-06-12,110,15,15,22.4,0,300,110,<15,<15,"22,4",,<300,B915,gruen,1,1
2018-06-26,150,15,15,19,0,300,150,15,<15,19,,<300,B915,gruen,1,1
2018-07-10,100,15,15,20.5,0,300,100,<15,<15,"20,5",,<300,B915,gruen,1,1
2018-07-24,180,15,15,24.6,0,300,180,15,<15,"24,6",,<300,B915,gruen,1,1
2018-08-07,80,179,15,26.3,,300,80,179,<15,"26,3",A,<300,B915,gruen_a,1,1
2018-08-21,110,15,15,23.1,,360,110,<15,<15,"23,1",A,360,B915,gruen_a,1,1
2018-09-05,160,15,15,21,,300,160,<15,<15,21,A,<300,B915,gruen_a,1,1
2019-04-25,220,15,15,16.6,0,300,>220,15,<15,"16,6",,<300,B915,gruen,1,1
2019-05-15,250,15,15,14.3,0,300,>250,<15,<15,"14,3",,<300,B915,gruen,1,1
2019-05-29,200,15,15,17.8,0,300,200,15,15,"17,8",,<300,B915,gruen,1,1
2019-06-13,70,61,61,25.3,0,300,70,61,61,"25,3",,300,B915,gruen,1,1
2019-06-27,130,30,15,23.9,0,300,130,30,15,"23,9",,<300,B915,gruen,1,1
2019-07-10,100,15,15,20.5,0,300,100,<15,<15,"20,5",,<300,B915,gruen,1,1
2019-07-24,80,330,77,26.4,0,1500,80,330,77,"26,4",,1500,B915,gruen,1,1
2019-07-25,80,330,77,26.4,0,1500,80,330,77,"26,4",,1500,B915,gruen,1,1
