date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,120,15,15,21.4,0,300,120,15,<15,"21,40",,<300,B230,gruen,1,1
2018-05-28,70,15,15,23.7,0,300,70,<15,<15,"23,70",,<300,B230,gruen,1,1
2018-06-11,110,30,15,24.7,0,360,110,30,<15,"24,7",,360,B230,gruen,1,1
2018-06-25,100,46,15,20.6,0,300,100,46,<15,"20,6",,<300,B230,gruen,1,1
2018-07-09,120,15,15,22.5,0,300,120,15,15,"22,5",,<300,B230,gruen,1,1
2018-07-23,70,15,15,24.7,,300,70,<15,<15,"24,7",A,<300,B230,gruen_a,1,1
2018-08-06,60,15,15,27.4,,1500,60,<15,15,"27,4",A,1500,B230,gruen_a,1,1
2018-08-20,25,15,61,24.4,,720,25,<15,61,"24,4",A,720,B230,gelb_a,3,3
2018-09-04,70,15,15,21.5,,360,70,<15,<15,"21,5",A,360,B230,gelb_a,3,3
2019-04-23,110,15,15,14.6,0,300,110,15,<15,"14,6",,<300,B230,gruen,1,1
2019-05-20,190,15,15,18.8,0,300,190,<15,<15,"18,8",,<300,B230,gruen,1,1
2019-06-05,120,15,15,24.4,0,300,120,<15,15,"24,4",,<300,B230,gruen,1,1
2019-06-17,220,15,15,25.7,0,300,220,15,<15,"25,7",,<300,B230,gruen,1,1
2019-07-01,110,15,15,25.2,0,300,110,<15,<15,"25,2",,<300,B230,gruen,1,1
2019-07-15,80,46,15,20.3,0,300,80,46,<15,"20,3",,<300,B230,gruen,1,1
2019-07-29,110,15,15,26.7,0,300,110,<15,<15,"26,7",,300,B230,gruen,1,1
