date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-19,100,15,15,19.3,0,300,100,<15,15,"19,30",,<300,B930,gruen,1,1
2018-05-17,100,61,15,20.5,0,910,100,61,<15,"20,50",,910,B930,gruen,1,1
2018-05-31,80,61,15,25.1,0,360,80,61,15,"25,1",,360,B930,gruen,1,1
2018-06-14,160,15,15,21.4,0,300,>160,<15,<15,"21,4",,<300,B930,gruen,1,1
2018-06-28,140,15,15,20.2,0,300,140,<15,<15,"20,2",,<300,B930,gruen,1,1
2018-07-13,120,197,77,21.1,0,110,120,197,77,"21,1",,>110.000,B930,gelb,3,3
2018-07-18,110,15,15,23.6,0,2,110,<15,<15,"23,6",,2.300,B930,gruen,1,1
2018-07-26,100,15,15,24.8,0,300,100,15,<15,"24,8",,<300,B930,gruen,1,1
2018-08-10,110,15,15,25.1,0,300,110,15,<15,"25,1",,<300,B930,gruen,1,1
2018-08-23,80,15,15,22.9,0,300,80,<15,<15,"22,9",,<300,B930,gruen,1,1
2018-09-07,110,15,15,20.3,0,300,110,<15,<15,"20,3",,<300,B930,gruen,1,1
2019-04-18,80,15,15,11.6,0,360,80,<15,<15,"11,6",,360,B930,gruen,1,1
2019-05-17,140,15,15,13.6,0,300,140,15,15,"13,6",,<300,B930,gruen,1,1
2019-05-29,80,15,15,17.6,0,300,80,<15,<15,"17,6",,<300,B930,gruen,1,1
2019-06-14,100,480,213,22.8,0,910,100,480,213,"22,8",,910,B930,gruen,1,1
2019-06-26,120,15,15,25.8,0,300,120,15,<15,"25,8",,<300,B930,gruen,1,1
2019-07-11,90,15,15,21.5,0,300,90,<15,<15,"21,5",,<300,B930,gruen,1,1
2019-07-23,110,15,15,22.3,0,300,110,<15,15,"22,3",,<300,B930,gruen,1,1
