date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-19,200,15,15,16.4,0,300,200,<15,<15,"16,40",,<300,B936,gruen,1,1
2018-05-17,200,15,15,19.1,0,300,200,<15,<15,"19,10",,<300,B936,gruen,1,1
2018-05-31,90,15,15,23.3,0,300,90,<15,<15,"23,3",,<300,B936,gruen,1,1
2018-06-14,150,15,15,20.8,0,300,150,<15,<15,"20,8",,<300,B936,gruen,1,1
2018-06-28,180,197,15,20.9,0,300,180,197,15,"20,9",,<300,B936,gruen,1,1
2018-07-13,60,77,61,20.9,0,910,60,77,61,"20,9",,910,B936,gruen,1,1
2018-07-26,100,15,15,23.7,0,300,100,15,<15,"23,7",,<300,B936,gruen,1,1
2018-08-10,120,15,15,24.5,0,2300,120,15,<15,"24,5",,2300,B936,gruen,1,1
2018-08-23,100,15,15,22.6,0,360,100,15,<15,"22,6",,360,B936,gruen,1,1
2018-09-07,40,15,15,19.7,0,300,40,<15,15,"19,7",,<300,B936,gruen,1,1
2019-04-18,100,15,15,12.1,0,300,<100,15,<15,"12,1",,<300,B936,gruen,1,1
2019-05-17,60,15,15,13.5,0,300,>60,<15,<15,"13,5",,<300,B936,gruen,1,1
2019-05-29,110,15,15,17.4,0,300,110,<15,<15,"17,4",,<300,B936,gruen,1,1
2019-06-14,110,46,46,22.4,0,300,110,46,46,"22,4",,<300,B936,gruen,1,1
2019-06-26,110,1225,61,25.7,0,360,110,1225,61,"25,7",,360,B936,gruen,1,1
2019-07-11,120,15,46,21.5,0,910,120,<15,46,"21,5",,910,B936,gruen,1,1
2019-07-23,180,15,15,21.9,0,360,180,<15,<15,"21,9",,360,B936,gruen,1,1
