date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-26,100,15,15,15.4,0,300,>100,15,<15,"15,40",,<300,B302,gruen,1,1
2018-05-23,70,15,15,21.5,0,910,70,15,<15,"21,50",,910,B302,gruen,1,1
2018-06-07,100,15,30,24.8,0,360,100,15,30,"24,8",,360,B302,gruen,1,1
2018-06-21,130,,15,23.6,0,300,130,´<15,<15,"23,6",,<300,B302,gruen,1,1
2018-07-19,100,15,15,23.2,0,300,100,15,15,"23,2",,<300,B302,gruen,1,1
2018-08-02,100,15,15,26.3,0,300,100,<15,15,"26,3",,<300,B302,gruen,1,1
2018-08-16,120,110,15,23.4,0,24000,120,110,15,"23,4",,24000,B302,gelb,3,3
2018-08-21,70,77,15,24,0,24000,70,77,<15,24,,24000,B302,gelb,3,3
2018-08-29,120,15,15,21,0,4300,120,<15,<15,21,,4300,B302,gruen,1,1
2018-09-12,80,15,46,21.3,0,300,80,15,46,"21,3",,<300,B302,gruen,1,1
2019-04-15,170,15,15,10.4,0,300,170,<15,<15,"10,4",,<300,B302,gruen,1,1
2019-05-13,120,15,15,15,0,300,120,<15,<15,15,,<300,B302,gruen,1,1
2019-06-11,130,15,15,24.2,0,300,130,<15,<15,"24,2",,<300,B302,gruen,1,1
2019-06-24,0,30,15,25,0,300,"0,8",30,<15,25,,<300,B302,gruen,1,1
2019-07-08,80,15,15,20.3,0,300,80,<15,<15,"20,3",,<300,B302,gruen,1,1
2019-07-22,130,15,15,23.1,,300,130,<15,<15,"23,1",A,<300,B302,gruen_a,1,1
