date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-03,350,15,15,16.1,0,300,350,<15,<15,"16,10",,<300,B333,gruen,1,1
2018-05-24,120,15,15,20.2,0,300,120,15,<15,"20,20",,<300,B333,gruen,1,1
2018-06-06,160,15,15,22.5,0,300,160,15,<15,"22,5",,<300,B333,gruen,1,1
2018-06-19,120,15,46,23.6,0,910,120,<15,46,"23,6",,910,B333,gruen,1,1
2018-07-04,130,15,15,22.4,0,300,130,<15,<15,"22,4",,<300,B333,gruen,1,1
2018-07-17,70,15,15,23.1,0,300,70,<15,<15,"23,1",,<300,B333,gruen,1,1
2018-08-01,230,15,15,26.7,0,300,230,<15,<15,"26,7",,<300,B333,gruen,1,1
2018-08-14,160,15,15,23.9,0,300,160,<15,15,"23,9",,<300,B333,gruen,1,1
2018-08-28,180,15,15,21.3,0,2300,180,<15,<15,"21,3",,2300,B333,gruen,1,1
2018-09-11,170,15,15,20.5,0,300,170,<15,<15,"20,5",,<300,B333,gruen,1,1
2019-04-24,210,15,15,13,0,300,210,<15,<15,13,,<300,B333,gruen,1,1
2019-05-14,220,15,15,14.3,0,300,220,<15,<15,"14,3",,<300,B333,gruen,1,1
2019-05-28,200,15,15,18,0,300,200,<15,<15,18,,<300,B333,gruen,1,1
2019-06-12,160,30,15,23.7,0,300,160,30,<15,"23,7",,<300,B333,gruen,1,1
2019-06-25,150,15,15,24.7,0,300,150,15,<15,"24,7",,<300,B333,gruen,1,1
2019-07-09,120,15,15,20.2,0,300,120,<15,<15,"20,2",,<300,B333,gruen,1,1
2019-07-24,100,15,15,24.4,0,300,100,<15,15,"24,4",,<300,B333,gruen,1,1
