"id","badname","Datum","Vorhersage","P2.5","P97.5","P50"
36,"kleine Badewiese","2019-05-01","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-02","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-03","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-04","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-05","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-06","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-07","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-08","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-09","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-10","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-11","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-12","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-13","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-14","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-15","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-16","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-17","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-18","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-19","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-20","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-21","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-22","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-23","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-24","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-25","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-26","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-27","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-28","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-29","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-30","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-05-31","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-01","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-02","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-03","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-04","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-05","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-06","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-07","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-08","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-09","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-10","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-11","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-12","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-13","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-14","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-15","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-16","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-17","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-18","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-19","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-20","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-21","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-22","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
36,"kleine Badewiese","2019-06-23","ausgezeichnet",4.33353149171793,504.524211683811,44.7083389902602
