date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,300,15,15,18.5,0,300,>300,<15,<15,"18,50",,<300,B116,gruen,1,1
2018-05-28,140,15,15,21.3,0,300,140,<15,<15,"21,30",,<300,B116,gruen,1,1
2018-06-11,120,15,15,24,0,300,120,<15,<15,24,,<300,B116,gruen,1,1
2018-06-25,250,15,15,18.9,0,300,250,<15,<15,"18,9",,<300,B116,gruen,1,1
2018-07-09,270,15,15,22.1,0,300,270,<15,<15,"22,1",,<300,B116,gruen,1,1
2018-09-04,100,15,15,20.4,0,300,100,<15,<15,"20,4",,<300,B116,gruen,1,1
