date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-16,150,15,15,20.7,0,300,>150,<15,<15,"20,70",,<300,B332,gruen,1,1
2018-05-24,80,15,15,20.6,0,300,80,<15,<15,"20,60",,<300,B332,gruen,1,1
2018-05-30,100,15,15,25.1,0,300,100,15,<15,"25,10",,<300,B332,gruen,1,1
2018-06-06,140,15,46,23,0,360,140,<15,46,23,,360,B332,gruen,1,1
2018-06-15,120,15,15,23.4,0,360,120,15,<15,"23,4",,360,B332,gruen,1,1
2018-06-19,100,15,15,23.8,0,300,100,15,<15,"23,8",,<300,B332,gruen,1,1
2018-06-27,120,15,15,21.9,0,300,120,<15,<15,"21,9",,<300,B332,gruen,1,1
2018-07-04,110,15,15,22.5,0,300,110,<15,<15,"22,5",,<300,B332,gruen,1,1
2018-09-11,120,15,15,21.1,0,2300,120,<15,<15,"21,1",,2300,B332,gruen,1,1
