date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,350,15,15,19.7,0,300,350,<15,<15,"19,70",,<300,B220,gruen,1,1
2018-05-28,130,15,15,22.3,0,300,130,15,<15,"22,30",,<300,B220,gruen,1,1
2018-06-11,110,15,15,24,0,300,110,<15,<15,24,,<300,B220,gruen,1,1
2018-06-25,150,15,15,19.6,0,300,150,<15,15,"19,6",,<300,B220,gruen,1,1
2018-07-09,110,15,15,22.9,0,300,110,<15,<15,"22,9",,<300,B220,gruen,1,1
2018-09-04,60,15,15,20.8,,300,60,<15,<15,"20,8",A,<300,B220,gruen_a,1,1
