date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-03,350,15,15,16.1,0,300,350,<15,<15,"16,10",,<300,B333,gruen,1,1
2018-05-24,120,15,15,20.2,0,300,120,15,<15,"20,20",,<300,B333,gruen,1,1
2018-06-06,160,15,15,22.5,0,300,160,15,<15,"22,5",,<300,B333,gruen,1,1
2018-06-19,120,15,46,23.6,0,910,120,<15,46,"23,6",,910,B333,gruen,1,1
2018-07-04,130,15,15,22.4,0,300,130,<15,<15,"22,4",,<300,B333,gruen,1,1
2018-09-11,170,15,15,20.5,0,300,170,<15,<15,"20,5",,<300,B333,gruen,1,1
