date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-15,160,15,15,21.2,0,360,160,15,<15,"21,20",,360,B926,gruen,1,1
2018-05-29,120,46,15,24.8,0,300,120,46,<15,"24,80",,<300,B926,gruen,1,1
2018-06-12,300,30,15,22.2,0,300,300,30,15,"22,2",,<300,B926,gruen,1,1
2018-06-26,160,30,15,20.4,0,300,160,30,<15,"20,4",,<300,B926,gruen,1,1
2018-07-10,180,15,15,22.5,0,300,180,<15,15,"22,5",,<300,B926,gruen,1,1
2018-09-05,160,46,15,21.3,0,300,160,46,15,"21,3",,<300,B926,gruen,1,1
