date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-19,250,15,15,17.4,0,300,250,<15,<15,"17,40",,<300,B955,gruen,1,1
2018-05-17,230,46,15,19.7,0,300,230,46,<15,"19,70",,<300,B955,gruen,1,1
2018-05-31,100,30,15,24.3,0,300,100,30,<15,"24,3",,<300,B955,gruen,1,1
2018-06-14,180,15,15,21.9,0,300,180,<15,<15,"21,9",,<300,B955,gruen,1,1
2018-06-28,300,30,15,21,0,300,300,30,15,21,,<300,B955,gruen,1,1
2018-09-07,50,15,15,21,0,300,50,<15,<15,21,,<300,B955,gruen,1,1
