date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-19,200,15,15,15.5,0,300,>200,<15,<15,"15,50",,<300,B313,gruen,1,1
2018-05-18,70,15,30,18.5,0,300,70,15,30,"18,50",,<300,B313,gruen,1,1
2018-06-01,120,15,15,25.5,0,300,120,<15,<15,"25,5",,300,B313,gruen,1,1
2018-06-13,100,30,15,21.3,0,300,100,30,15,"21,3",,<300,B313,gruen,1,1
2018-06-29,180,30,15,23.9,0,300,180,30,<15,"23,9",,<300,B313,gruen,1,1
2018-09-03,150,15,15,20.5,0,300,>150,<15,<15,"20,5",,<300,B313,gruen,1,1
