date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,180,15,15,20.6,0,300,180,<15,<15,"20,60",,<300,B224,gruen,1,1
2018-05-28,90,15,15,23.3,0,300,90,15,<15,"23,30",,<300,B224,gruen,1,1
2018-06-11,110,15,15,24.4,0,300,110,<15,15,"24,4",,<300,B224,gruen,1,1
2018-06-25,90,15,15,20.2,0,300,90,<15,<15,"20,2",,<300,B224,gruen,1,1
2018-07-09,80,15,15,23.2,0,300,80,15,<15,"23,2",,<300,B224,gruen,1,1
2018-09-04,60,15,15,21.1,,300,60,<15,<15,"21,1",A,<300,B224,gruen_a,1,1
