date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-25,125,15,15,17.3,0,300,125,15,<15,"17,30",,<300,B911,gruen,1,1
2018-05-25,120,15,15,22.3,0,300,120,15,<15,"22,30",,<300,B911,gruen,1,1
2018-06-08,180,15,30,23.7,0,360,180,<15,30,"23,7",,360,B911,gruen,1,1
2018-06-22,200,15,15,20.3,0,300,200,15,<15,"20,3",,<300,B911,gruen,1,1
2018-07-06,130,177,15,21.8,0,300,130,177,<15,"21,8",,<300,B911,gruen,1,1
2018-09-13,100,126,15,18.6,0,300,100,126,<15,"18,6",,<300,B911,gruen,1,1
