date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-03,210,15,15,16.3,0,300,210,<15,<15,"16,30",,<300,B336,gruen,1,1
2018-05-24,120,15,15,20,0,300,120,15,<15,"20,00",,<300,B336,gruen,1,1
2018-06-06,130,15,77,22.8,0,300,130,<15,77,"22,8",,<300,B336,gruen,1,1
2018-06-19,120,15,15,23.4,0,300,120,<15,15,"23,4",,<300,B336,gruen,1,1
2018-07-04,120,15,15,21.8,0,360,120,<15,<15,"21,8",,360,B336,gruen,1,1
2018-09-11,150,15,15,20.4,0,300,150,<15,<15,"20,4",,<300,B336,gruen,1,1
