date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-16,200,46,15,19.1,0,300,>200,46,15,"19,10",,<300,B330,gruen,1,1
2018-05-24,100,61,15,20,0,300,100,61,<15,"20,00",,<300,B330,gruen,1,1
2018-05-30,120,15,15,24.2,0,300,120,<15,<15,"24,20",,<300,B330,gruen,1,1
2018-06-06,140,77,30,22.7,0,300,140,77,30,"22,7",,<300,B330,gruen,1,1
2018-06-15,120,30,61,22.3,0,300,120,30,61,"22,3",,300,B330,gruen,1,1
2018-06-19,90,15,15,23.2,0,300,90,<15,<15,"23,2",,<300,B330,gruen_prog,11,11
2018-06-27,120,77,15,20.6,0,300,120,77,<15,"20,6",,<300,B330,gruen,1,1
2018-07-04,130,15,15,21.8,0,300,130,<15,<15,"21,8",,<300,B330,gruen,1,1
2018-09-11,80,15,15,20.2,0,910,80,15,15,"20,2",,910,B330,gruen,1,1
