date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,140,15,15,20,0,300,140,<15,15,"20,00",,<300,B226,gruen,1,1
2018-05-28,110,15,15,22.8,0,300,110,<15,<15,"22,80",,<300,B226,gruen,1,1
2018-06-11,100,15,15,24.3,0,300,100,<15,<15,"24,3",,<300,B226,gruen,1,1
2018-06-25,100,15,15,20.3,0,300,100,<15,<15,"20,3",,<300,B226,gruen,1,1
2018-07-09,80,15,15,22.4,0,300,80,<15,<15,"22,4",,<300,B226,gruen,1,1
2018-09-04,70,15,15,22,,300,70,<15,15,22,A,<300,B226,gruen_a,1,1
