date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-15,220,15,15,20,0,300,220,<15,<15,"20,00",,<300,B915,gruen,1,1
2018-05-29,120,15,15,23.5,0,300,120,<15,<15,"23,50",,<300,B915,gruen,1,1
2018-06-12,110,15,15,22.4,0,300,110,<15,<15,"22,4",,<300,B915,gruen,1,1
2018-06-26,150,15,15,19,0,300,150,15,<15,19,,<300,B915,gruen,1,1
2018-07-10,100,15,15,20.5,0,300,100,<15,<15,"20,5",,<300,B915,gruen,1,1
2018-09-05,160,15,15,21,,300,160,<15,<15,21,A,<300,B915,gruen_a,1,1
