date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,160,15,15,20.5,0,300,160,<15,<15,"20,50",,<300,B225,gruen,1,1
2018-05-28,100,15,15,23.3,0,300,100,<15,<15,"23,30",,<300,B225,gruen,1,1
2018-06-11,100,15,15,24.3,0,300,100,<15,15,"24,3",,<300,B225,gruen,1,1
2018-06-25,100,15,30,20.6,0,300,100,15,30,"20,6",,<300,B225,gruen,1,1
2018-07-09,90,15,15,22.7,0,300,90,<15,<15,"22,7",,<300,B225,gruen,1,1
2018-09-04,70,15,15,21.7,,300,70,15,<15,"21,7",A,<300,B225,gruen_a,1,1
