date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-19,120,15,15,16.2,0,300,>120,<15,15,"16,20",,<300,B304,gruen,1,1
2018-05-18,70,15,15,18.8,0,300,70,<15,<15,"18,80",,<300,B304,gruen,1,1
2018-06-01,100,15,15,24.6,0,360,100,<15,15,"24,6",,360,B304,gruen,1,1
2018-06-13,60,15,46,22.6,0,300,60,<15,46,"22,6",,<300,B304,gruen,1,1
2018-06-29,75,46,46,23.4,0,300,>75,46,46,"23,4",,<300,B304,gruen,1,1
2018-09-03,150,15,15,20.5,0,9300,>150,<15,<15,"20,5",,9300,B304,gruen,1,1
