date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-19,200,15,15,16.4,0,300,200,<15,<15,"16,40",,<300,B936,gruen,1,1
2018-05-17,200,15,15,19.1,0,300,200,<15,<15,"19,10",,<300,B936,gruen,1,1
2018-05-31,90,15,15,23.3,0,300,90,<15,<15,"23,3",,<300,B936,gruen,1,1
2018-06-14,150,15,15,20.8,0,300,150,<15,<15,"20,8",,<300,B936,gruen,1,1
2018-06-28,180,197,15,20.9,0,300,180,197,15,"20,9",,<300,B936,gruen,1,1
2018-09-07,40,15,15,19.7,0,300,40,<15,15,"19,7",,<300,B936,gruen,1,1
