date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,170,15,15,20.6,0,300,170,<15,<15,"20,60",,<300,B112,gruen,1,1
2018-05-28,100,15,15,23.1,0,300,100,<15,<15,"23,10",,<300,B112,gruen,1,1
2018-06-11,120,30,15,24.2,0,300,120,30,<15,"24,2",,<300,B112,gruen,1,1
2018-06-25,120,15,15,18.9,0,300,120,<15,<15,"18,9",,<300,B112,gruen,1,1
2018-07-09,180,15,15,22.5,0,300,180,15,<15,"22,5",,<300,B112,gruen,1,1
2018-09-04,130,15,15,20.7,0,300,130,15,<15,"20,7",,<300,B112,gruen,1,1
