date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,120,15,15,21.4,0,300,120,15,<15,"21,40",,<300,B230,gruen,1,1
2018-05-28,70,15,15,23.7,0,300,70,<15,<15,"23,70",,<300,B230,gruen,1,1
2018-06-11,110,30,15,24.7,0,360,110,30,<15,"24,7",,360,B230,gruen,1,1
2018-06-25,100,46,15,20.6,0,300,100,46,<15,"20,6",,<300,B230,gruen,1,1
2018-07-09,120,15,15,22.5,0,300,120,15,15,"22,5",,<300,B230,gruen,1,1
2018-09-04,70,15,15,21.5,,360,70,<15,<15,"21,5",A,360,B230,gelb_a,3,3
