date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-04-19,280,15,15,19.9,0,300,280,<15,<15,"19,90",,<300,B950,gruen,1,1
2018-05-17,280,94,15,20,0,300,280,94,<15,"20,00",,<300,B950,gruen,1,1
2018-05-31,60,45,15,24,0,300,60,45,15,24,,<300,B950,gruen,1,1
2018-06-14,180,77,15,22.2,0,730,180,77,<15,"22,2",,730,B950,gruen,1,1
2018-06-28,200,213,30,21.8,0,300,200,213,30,"21,8",,<300,B950,gruen,1,1
2018-09-07,80,15,15,20.5,0,300,80,<15,<15,"20,5",,<300,B950,gruen,1,1
