date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-03,350,15,15,16.7,0,300,350,<15,<15,"16,70",,<300,B334,gruen,1,1
2018-05-24,140,15,15,20.9,0,300,140,<15,<15,"20,90",,<300,B334,gruen,1,1
2018-06-06,130,15,15,23.2,0,300,130,15,<15,"23,2",,<300,B334,gruen,1,1
2018-06-19,160,15,30,23.4,0,300,160,<15,30,"23,4",,<300,B334,gruen,1,1
2018-07-04,120,15,15,23.2,0,300,120,<15,<15,"23,2",,<300,B334,gruen,1,1
2018-09-11,210,15,15,20.5,0,300,210,<15,<15,"20,5",,<300,B334,gruen,1,1
